"type","genotype","N","mean","sd","se","gene"
"62","Aother","wt",5,1.11116007482726,1.33509401871434,0.597072196439728,"Solyc00g095760.1.1"
"63","Bmbr","wt",4,6.61706968173546,13.0131351026848,6.50656755134241,"Solyc00g095760.1.1"
"64","Bother","wt",4,0.180806419617925,0.230529553648836,0.115264776824418,"Solyc00g095760.1.1"
"65","Cmbr","wt",6,0.93640980285227,1.21532218235852,0.496153203310677,"Solyc00g095760.1.1"
"66","Cother","wt",3,34.3724019558519,52.2610905057042,30.1729546716117,"Solyc00g095760.1.1"
"67","Ambr","wt",3,0.026718697698027,0.0462781419250563,0.026718697698027,"Solyc00g105750.1.1"
"68","Aother","wt",5,1.40807461438489,1.23343785886129,0.551610179687128,"Solyc00g105750.1.1"
"69","Bmbr","wt",4,1.6945446593031,2.90787551455211,1.45393775727606,"Solyc00g105750.1.1"
"70","Bother","wt",4,0.565964011964049,1.04521776409934,0.522608882049668,"Solyc00g105750.1.1"
"71","Cmbr","wt",6,0.764074257755964,1.29539699112016,0.528843607096837,"Solyc00g105750.1.1"
"72","Cother","wt",3,41.0136564133126,65.9575149165036,38.0805889921221,"Solyc00g105750.1.1"
"73","Ambr","wt",3,85.3482215237098,134.47262603571,77.6378068403531,"Solyc00g121730.1.1"
"74","Aother","wt",5,6.41359468854678,3.09395080991037,1.38365686600002,"Solyc00g121730.1.1"
"75","Bmbr","wt",4,58.466993511092,113.971277002391,56.9856385011953,"Solyc00g121730.1.1"
"76","Bother","wt",4,11.3632154570975,16.4483935415227,8.22419677076134,"Solyc00g121730.1.1"
"77","Cmbr","wt",6,5.12527549579781,4.79451247611819,1.95735152198291,"Solyc00g121730.1.1"
"78","Cother","wt",3,472.192284433148,741.147951301177,427.901969193074,"Solyc00g121730.1.1"
"79","Ambr","wt",3,289.854496253425,462.595414550323,267.079587116515,"Solyc00g131710.1.1"
"80","Aother","wt",5,17.4391401083185,17.9828852210657,8.04219075717585,"Solyc00g131710.1.1"
"81","Bmbr","wt",4,145.839681508655,279.622196993668,139.811098496834,"Solyc00g131710.1.1"
"82","Bother","wt",4,15.5337510750541,8.58802475566518,4.29401237783259,"Solyc00g131710.1.1"
"83","Cmbr","wt",6,16.5605739205002,15.858509579623,6.4742094251859,"Solyc00g131710.1.1"
"84","Cother","wt",3,1109.13393013656,1735.95657656225,1002.25499677972,"Solyc00g131710.1.1"
"85","Ambr","wt",3,4.38753955684879,2.67548127648222,1.54468983518881,"Solyc00g166690.1.1"
"86","Aother","wt",5,0.806309854559132,1.30302263606616,0.582729438092983,"Solyc00g166690.1.1"
"87","Bmbr","wt",4,23.9777854680009,47.6388828522239,23.8194414261119,"Solyc00g166690.1.1"
"88","Bother","wt",4,3.568327504807,6.44744758744043,3.22372379372021,"Solyc00g166690.1.1"
"89","Cmbr","wt",6,1.23462969225272,1.46778067948332,0.599218953174955,"Solyc00g166690.1.1"
"90","Cother","wt",3,59.7836598355513,100.429323992777,57.9828972417621,"Solyc00g166690.1.1"
"91","Ambr","wt",3,144.806825324432,243.167592350519,140.392874901765,"Solyc00g187050.2.1"
"92","Aother","wt",5,45.1152048697296,62.0779993828242,27.762125305437,"Solyc00g187050.2.1"
"93","Bmbr","wt",4,2.88771767717612,5.10118141287045,2.55059070643523,"Solyc00g187050.2.1"
"94","Bother","wt",4,1.53638109223506,2.81327865859406,1.40663932929703,"Solyc00g187050.2.1"
"95","Cmbr","wt",6,6.08843080433328,13.8363874380112,5.64868151776373,"Solyc00g187050.2.1"
"96","Cother","wt",3,4.39404191006334,3.28872014712862,1.89874346223405,"Solyc00g187050.2.1"
"97","Ambr","wt",3,46.6004423350179,63.8464970542452,36.8617922610831,"Solyc00g195360.1.1"
"98","Aother","wt",5,8.65531918237228,3.94335382511794,1.76352144245951,"Solyc00g195360.1.1"
"99","Bmbr","wt",4,28.0712181570596,40.8991719496811,20.4495859748406,"Solyc00g195360.1.1"
"100","Bother","wt",4,16.7148175512128,18.5909557425989,9.29547787129947,"Solyc00g195360.1.1"
"101","Cmbr","wt",6,11.2059941272693,2.00279942906385,0.817639443057317,"Solyc00g195360.1.1"
"102","Cother","wt",3,215.720853424361,336.805513779599,194.454754045202,"Solyc00g195360.1.1"
"103","Ambr","wt",3,56.4015259844294,72.6909479950529,41.9681383925929,"Solyc00g206460.1.1"
"104","Aother","wt",5,17.4867267058272,6.99578438863945,3.12860988978592,"Solyc00g206460.1.1"
"105","Bmbr","wt",4,52.128354936292,90.2358840591174,45.1179420295587,"Solyc00g206460.1.1"
"106","Bother","wt",4,46.246465095507,70.2955901918676,35.1477950959338,"Solyc00g206460.1.1"
"107","Cmbr","wt",6,10.2088901538534,3.91191889714936,1.59703420219451,"Solyc00g206460.1.1"
"108","Cother","wt",3,233.464862861924,370.633889433776,213.985575835388,"Solyc00g206460.1.1"
"109","Ambr","wt",3,14.6164632744858,10.722479444614,6.19062639372812,"Solyc00g281110.1.1"
"110","Aother","wt",5,6.25263781405962,1.95201824172818,0.872969096364767,"Solyc00g281110.1.1"
"111","Bmbr","wt",4,9.14352033588847,3.59190653588631,1.79595326794316,"Solyc00g281110.1.1"
"112","Bother","wt",4,3.16820978791472,2.07154138513344,1.03577069256672,"Solyc00g281110.1.1"
"113","Cmbr","wt",6,10.4172376514954,2.11538365935407,0.863601762606489,"Solyc00g281110.1.1"
"114","Cother","wt",3,27.4308320645174,40.3493919249449,23.2957322895046,"Solyc00g281110.1.1"
"115","Ambr","wt",3,8.12300160037463,7.7326695429779,4.46445884219271,"Solyc01g005790.1.1"
"116","Aother","wt",5,2.1701595148273,0.866783943038919,0.387637563688066,"Solyc01g005790.1.1"
"117","Bmbr","wt",4,2.10051391878639,1.16363870203679,0.581819351018397,"Solyc01g005790.1.1"
"118","Bother","wt",4,1.35759672210865,1.07774083913279,0.538870419566395,"Solyc01g005790.1.1"
"119","Cmbr","wt",6,4.94158559531107,5.06536956443927,2.06792846525001,"Solyc01g005790.1.1"
"120","Cother","wt",3,16.0319483082932,24.9896290000989,14.427769030156,"Solyc01g005790.1.1"
"121","Ambr","wt",3,1.38338766465648,0.504022748387174,0.29099766945903,"Solyc01g005850.1.1"
"122","Aother","wt",5,4.82974033898393,7.43133090446002,3.32339221313352,"Solyc01g005850.1.1"
"123","Bmbr","wt",4,4.81618903101504,1.77274748456963,0.886373742284813,"Solyc01g005850.1.1"
"124","Bother","wt",4,16.0890615510715,26.1638562578722,13.0819281289361,"Solyc01g005850.1.1"
"125","Cmbr","wt",6,3.16376460556986,2.05648200599313,0.839555263316391,"Solyc01g005850.1.1"
"126","Cother","wt",3,37.7125471859691,60.6269340563612,35.0029766975818,"Solyc01g005850.1.1"
"127","Ambr","wt",3,0.921197858684725,0.751379743101199,0.433809296943109,"Solyc01g007240.2.1"
"128","Aother","wt",5,1.44432496561609,1.50797913545788,0.674388771107035,"Solyc01g007240.2.1"
"129","Bmbr","wt",4,2.36187379676885,3.24825031184593,1.62412515592296,"Solyc01g007240.2.1"
"130","Bother","wt",4,1.36741203473517,1.81213885625769,0.906069428128845,"Solyc01g007240.2.1"
"131","Cmbr","wt",6,1.84293083048719,1.11923829514791,0.456927120615822,"Solyc01g007240.2.1"
"132","Cother","wt",3,10.6635984816054,8.21231018799272,4.7413794977063,"Solyc01g007240.2.1"
"133","Ambr","wt",3,1606.18032103732,1423.20032042929,821.685088110613,"Solyc01g007730.2.1"
"134","Aother","wt",5,1954.23652860113,1190.37995119909,532.35409798681,"Solyc01g007730.2.1"
"135","Bmbr","wt",4,295.203389369713,374.340575396061,187.17028769803,"Solyc01g007730.2.1"
"136","Bother","wt",4,806.912665631637,387.43299649461,193.716498247305,"Solyc01g007730.2.1"
"137","Cmbr","wt",6,362.971099386657,164.526183226349,67.1675330387012,"Solyc01g007730.2.1"
"138","Cother","wt",3,452.620306770742,147.714563334322,85.2830429042989,"Solyc01g007730.2.1"
"139","Ambr","wt",3,10.3542018140186,8.73444768370364,5.042835721409,"Solyc01g009000.2.1"
"140","Aother","wt",5,16.1346264744347,10.6749558437736,4.7739853846973,"Solyc01g009000.2.1"
"141","Bmbr","wt",4,5.36539287471633,3.99769021547247,1.99884510773623,"Solyc01g009000.2.1"
"142","Bother","wt",4,11.2345309021006,7.18575323448386,3.59287661724193,"Solyc01g009000.2.1"
"143","Cmbr","wt",6,16.2424430730433,4.04091461095046,1.64969648183097,"Solyc01g009000.2.1"
"144","Cother","wt",3,36.5793519918577,53.466790584425,30.8690659366232,"Solyc01g009000.2.1"
"145","Ambr","wt",3,11.4396516326489,5.04936123409557,2.91525006774074,"Solyc01g009390.2.1"
"146","Aother","wt",5,12.2055923361735,5.54345576037297,2.47910878209135,"Solyc01g009390.2.1"
"147","Bmbr","wt",4,7.925039560912,8.01175451615127,4.00587725807563,"Solyc01g009390.2.1"
"148","Bother","wt",4,8.3069592798362,6.37270568043815,3.18635284021908,"Solyc01g009390.2.1"
"149","Cmbr","wt",6,11.6360493114142,7.32567500783375,2.99069429844198,"Solyc01g009390.2.1"
"150","Cother","wt",3,83.7548333918216,131.427635548228,75.8797807627254,"Solyc01g009390.2.1"
"151","Ambr","wt",3,9.9491084697975,1.54491058753255,0.89195454358582,"Solyc01g010460.2.1"
"152","Aother","wt",5,4.12174243060458,3.03246554738702,1.3561598206767,"Solyc01g010460.2.1"
"153","Bmbr","wt",4,5.740023960346,4.55548617817893,2.27774308908947,"Solyc01g010460.2.1"
"154","Bother","wt",4,2.90939010534579,2.13778439443171,1.06889219721586,"Solyc01g010460.2.1"
"155","Cmbr","wt",6,5.18131838834146,6.8017376820916,2.77679778089753,"Solyc01g010460.2.1"
"156","Cother","wt",3,15.3603624395458,15.2650925998227,8.81330532171222,"Solyc01g010460.2.1"
"157","Ambr","wt",3,6.22237565148511,5.52224847108341,3.188271641312,"Solyc01g014280.2.1"
"158","Aother","wt",5,1.05338473178536,1.32295270507649,0.591642435913651,"Solyc01g014280.2.1"
"159","Bmbr","wt",4,1.27037805601674,1.67560176343926,0.83780088171963,"Solyc01g014280.2.1"
"160","Bother","wt",4,293.204317325806,511.744666438237,255.872333219118,"Solyc01g014280.2.1"
"161","Cmbr","wt",6,7.92657941315695,16.7860751968441,6.85288650270945,"Solyc01g014280.2.1"
"162","Cother","wt",3,12.2560078128164,17.3415331159937,10.0121388126798,"Solyc01g014280.2.1"
"163","Ambr","wt",3,15.1772336636847,25.5414743509238,14.7463770920058,"Solyc01g014500.1.1"
"164","Aother","wt",5,1.14418383625183,1.13349057307776,0.506912394651413,"Solyc01g014500.1.1"
"165","Bmbr","wt",4,7.30794226472429,11.7306919311752,5.86534596558758,"Solyc01g014500.1.1"
"166","Bother","wt",4,1.40607053507772,1.30178621913225,0.650893109566126,"Solyc01g014500.1.1"
"167","Cmbr","wt",6,2.45610540877509,0.990565721939852,0.404396762574047,"Solyc01g014500.1.1"
"168","Cother","wt",3,74.6518102883058,120.768721442999,69.7258538348022,"Solyc01g014500.1.1"
"169","Ambr","wt",3,26.8070320005777,39.7174234677142,22.9308651306032,"Solyc01g015220.1.1"
"170","Aother","wt",5,2.21229031818708,2.80868490250605,1.25608207387618,"Solyc01g015220.1.1"
"171","Bmbr","wt",4,20.155218418969,40.310436837938,20.155218418969,"Solyc01g015220.1.1"
"172","Bother","wt",4,0.829000492966231,0.548411487979677,0.274205743989838,"Solyc01g015220.1.1"
"173","Cmbr","wt",6,1.48252483430042,2.38549414535478,0.973873906752642,"Solyc01g015220.1.1"
"174","Cother","wt",3,108.519896206244,168.310988040007,97.1743942524699,"Solyc01g015220.1.1"
"175","Ambr","wt",3,4.9200554641331,7.82714689467645,4.51900536662819,"Solyc01g016330.1.1"
